season,bowling_team,fullName,total_overs,total_maidens,runs_conceded,total_wickets,dot_balls,fours_conceded,sixes_conceded,total_economy,5W_count,extras
2023.0,CSK,Deepak Chahar,30.0,0.0,256.0,13.0,73.0,26.0,9.0,8.62,0.0,11.0
2023.0,CSK,Tushar Deshpande,55.5,0.0,563.0,21.0,132.0,54.0,28.0,10.028666666666668,0.0,27.0
2023.0,CSK,Rajvardhan Hangargekar,6.0,0.0,60.0,3.0,14.0,6.0,2.0,10.5,0.0,7.0
2023.0,CSK,Mitchell Santner,12.0,0.0,81.0,3.0,22.0,8.0,1.0,6.75,0.0,0.0
2023.0,CSK,Ravindra Jadeja,54.0,0.0,420.0,19.0,99.0,21.0,20.0,8.188666666666666,0.0,6.0
2023.0,CSK,Ben Stokes,1.0,0.0,18.0,0.0,0.0,2.0,1.0,18.0,0.0,0.0
2023.0,CSK,Moeen Ali,22.0,0.0,182.0,7.0,46.0,8.0,12.0,9.925,0.0,1.0
2023.0,CSK,Sisanda Magala,6.0,0.0,51.0,1.0,6.0,5.0,0.0,8.125,0.0,1.0
2023.0,CSK,Dwaine Pretorius,4.0,0.0,28.0,0.0,9.0,3.0,0.0,7.0,0.0,4.0
2023.0,CSK,Akash Singh,19.0,0.0,188.0,5.0,46.0,19.0,11.0,10.371666666666668,0.0,3.0
2023.0,CSK,Maheesh Theekshana,45.0,1.0,355.0,9.0,80.0,28.0,11.0,7.881666666666667,0.0,4.0
2023.0,CSK,Matheesha Pathirana,43.0,0.0,349.0,17.0,98.0,27.0,9.0,8.105454545454545,0.0,30.0
,CSK,Deepak Chahar,,,,,,,,,,
,CSK,Tushar Deshpande,,,,,,,,,,
,CSK,Moeen Ali,,,,,,,,,,
,CSK,Maheesh Theekshana,,,,,,,,,,
,CSK,Ravindra Jadeja,,,,,,,,,,
,CSK,Matheesha Pathirana,,,,,,,,,,
2022.0,CSK,Tushar Deshpande,7.0,0.0,63.0,1.0,18.0,10.0,1.0,8.83,0.0,1.0
2022.0,CSK,Adam Milne,2.3,0.0,19.0,0.0,9.0,2.0,1.0,7.6,0.0,0.0
2022.0,CSK,Mitchell Santner,19.0,0.0,130.0,4.0,43.0,10.0,4.0,6.68,0.0,0.0
2022.0,CSK,Dwayne Bravo,33.8,1.0,299.0,16.0,70.0,29.0,6.0,8.803,0.0,23.0
2022.0,CSK,Shivam Dube,2.0,0.0,36.0,0.0,1.0,4.0,2.0,18.0,0.0,2.0
2022.0,CSK,Ravindra Jadeja,33.0,0.0,248.0,5.0,65.0,14.0,11.0,7.683,0.0,5.0
2022.0,CSK,Mukesh Choudhary,45.3,0.0,424.0,16.0,119.0,47.0,17.0,9.266153846153847,0.0,18.0
2022.0,CSK,Moeen Ali,23.5,0.0,158.0,8.0,56.0,7.0,9.0,7.709999999999999,0.0,3.0
2022.0,CSK,Dwaine Pretorius,21.0,0.0,210.0,6.0,37.0,11.0,11.0,10.041666666666666,0.0,12.0
2022.0,CSK,Chris Jordan,12.5,0.0,135.0,2.0,23.0,11.0,7.0,10.5525,0.0,3.0
2022.0,CSK,Maheesh Theekshana,35.0,0.0,261.0,12.0,68.0,17.0,11.0,7.472222222222222,0.0,2.0
2022.0,CSK,Simarjeet Singh,18.0,0.0,138.0,4.0,57.0,17.0,4.0,8.235,0.0,5.0
2022.0,CSK,Prashant Solanki,6.0,0.0,38.0,2.0,12.0,1.0,2.0,7.25,0.0,0.0
2022.0,CSK,Matheesha Pathirana,6.5,0.0,52.0,2.0,20.0,6.0,0.0,7.6,0.0,7.0
2021.0,CSK,Deepak Chahar,54.0,1.0,451.0,14.0,132.0,56.0,13.0,8.56,0.0,15.0
2021.0,CSK,Josh Hazlewood,35.0,0.0,293.0,11.0,87.0,29.0,13.0,8.342222222222222,0.0,5.0
2021.0,CSK,Shardul Thakur,59.5,1.0,527.0,21.0,137.0,51.0,17.0,8.943125,0.0,29.0
2021.0,CSK,Dwayne Bravo,33.4,0.0,263.0,14.0,73.0,15.0,11.0,8.446363636363635,0.0,19.0
2021.0,CSK,Ravindra Jadeja,49.0,1.0,346.0,13.0,104.0,20.0,14.0,7.57125,0.0,6.0
2021.0,CSK,Moeen Ali,25.2,0.0,161.0,6.0,50.0,3.0,8.0,6.025,0.0,2.0
2021.0,CSK,Sam Curran,33.0,0.0,328.0,9.0,76.0,27.0,20.0,9.88888888888889,0.0,11.0
2021.0,CSK,KM Asif,2.1,0.0,18.0,1.0,2.0,1.0,0.0,8.3,0.0,1.0
2021.0,CSK,Lungi Ngidi,12.0,0.0,125.0,5.0,25.0,10.0,8.0,10.416666666666666,0.0,3.0
2021.0,CSK,Imran Tahir,4.0,0.0,16.0,2.0,14.0,1.0,0.0,4.0,0.0,2.0
2020.0,CSK,Deepak Chahar,52.0,2.0,396.0,12.0,118.0,45.0,6.0,7.594285714285713,0.0,9.0
2020.0,CSK,Sam Curran,42.0,0.0,344.0,13.0,91.0,35.0,8.0,8.056923076923077,0.0,13.0
2020.0,CSK,Lungi Ngidi,16.0,0.0,167.0,9.0,35.0,16.0,8.0,10.4375,0.0,8.0
2020.0,CSK,Piyush Chawla,21.0,0.0,191.0,6.0,37.0,13.0,10.0,9.081428571428571,0.0,2.0
2020.0,CSK,Ravindra Jadeja,35.8,0.0,318.0,6.0,56.0,15.0,17.0,9.069230769230769,0.0,3.0
2020.0,CSK,Josh Hazlewood,10.0,0.0,64.0,1.0,31.0,10.0,0.0,6.75,0.0,1.0
2020.0,CSK,Shardul Thakur,32.2,0.0,275.0,10.0,68.0,26.0,8.0,8.432222222222222,0.0,9.0
2020.0,CSK,Dwayne Bravo,21.0,0.0,180.0,6.0,35.0,15.0,3.0,8.566666666666666,0.0,9.0
2020.0,CSK,Karn Sharma,19.0,0.0,165.0,5.0,27.0,8.0,9.0,8.815999999999999,0.0,4.0
2020.0,CSK,Imran Tahir,11.0,0.0,76.0,1.0,19.0,3.0,3.0,6.9433333333333325,0.0,0.0
2020.0,CSK,Monu Kumar,2.0,0.0,20.0,0.0,4.0,2.0,0.0,10.0,0.0,4.0
2020.0,CSK,Mitchell Santner,7.0,0.0,53.0,2.0,12.0,6.0,1.0,7.875,0.0,0.0
2019.0,CSK,Deepak Chahar,64.3,2.0,482.0,22.0,190.0,60.0,12.0,7.562352941176471,0.0,13.0
2019.0,CSK,Harbhajan Singh,44.0,1.0,312.0,16.0,117.0,21.0,15.0,7.090909090909091,0.0,5.0
2019.0,CSK,Suresh Raina,1.0,0.0,6.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0
2019.0,CSK,Imran Tahir,64.2,1.0,431.0,26.0,149.0,27.0,18.0,6.78,0.0,2.0
2019.0,CSK,Ravindra Jadeja,54.0,1.0,343.0,15.0,128.0,22.0,10.0,6.47875,0.0,2.0
2019.0,CSK,Dwayne Bravo,41.1,0.0,330.0,11.0,74.0,28.0,6.0,7.34,0.0,16.0
2019.0,CSK,Shardul Thakur,30.0,0.0,281.0,8.0,65.0,29.0,11.0,9.703333333333333,0.0,10.0
2019.0,CSK,Mitchell Santner,14.0,0.0,94.0,4.0,37.0,7.0,2.0,7.5,0.0,4.0
2019.0,CSK,Mohit Sharma,3.0,0.0,27.0,1.0,8.0,4.0,1.0,9.0,0.0,0.0
2019.0,CSK,Scott Kuggeleijn,8.0,0.0,71.0,2.0,17.0,6.0,3.0,8.875,0.0,2.0
2019.0,CSK,Karn Sharma,2.5,0.0,33.0,1.0,4.0,1.0,3.0,11.64,0.0,0.0
2018.0,CSK,Deepak Chahar,38.1,1.0,278.0,10.0,117.0,28.0,10.0,8.18,0.0,19.0
2018.0,CSK,Shane Watson,28.0,0.0,251.0,6.0,57.0,19.0,12.0,9.143636363636363,0.0,8.0
2018.0,CSK,Harbhajan Singh,31.5,0.0,270.0,7.0,68.0,25.0,13.0,9.26,0.0,2.0
2018.0,CSK,Ravindra Jadeja,41.0,0.0,303.0,11.0,82.0,18.0,12.0,7.9399999999999995,0.0,4.0
2018.0,CSK,Mark Wood,4.0,0.0,49.0,0.0,6.0,6.0,2.0,12.25,0.0,1.0
2018.0,CSK,Imran Tahir,20.4,0.0,188.0,6.0,40.0,13.0,10.0,9.333333333333334,0.0,2.0
2018.0,CSK,Dwayne Bravo,52.9,1.0,533.0,14.0,90.0,35.0,29.0,10.13125,0.0,17.0
2018.0,CSK,Shardul Thakur,46.4,1.0,431.0,16.0,113.0,33.0,24.0,9.236923076923077,0.0,15.0
2018.0,CSK,Karn Sharma,9.3,0.0,89.0,4.0,16.0,6.0,4.0,9.598,0.0,1.0
2018.0,CSK,Lungi Ngidi,26.0,2.0,156.0,11.0,79.0,13.0,6.0,6.1657142857142855,0.0,7.0
2018.0,CSK,KM Asif,6.0,0.0,75.0,3.0,16.0,7.0,6.0,12.495000000000001,0.0,2.0
2018.0,CSK,David Willey,10.0,0.0,95.0,2.0,20.0,12.0,3.0,9.916666666666666,0.0,1.0
2015.0,CSK,Ashish Nehra,62.0,0.0,449.0,22.0,174.0,48.0,13.0,7.338125,0.0,13.0
2015.0,CSK,Mohit Sharma,57.0,0.0,481.0,14.0,122.0,46.0,15.0,8.426875,0.0,8.0
2015.0,CSK,Ishwar Pandey,31.0,2.0,223.0,11.0,95.0,27.0,8.0,7.331999999999999,0.0,3.0
2015.0,CSK,Ravichandran Ashwin,39.0,0.0,228.0,10.0,115.0,12.0,10.0,7.16,0.0,6.0
2015.0,CSK,Dwayne Bravo,51.8,0.0,426.0,26.0,97.0,30.0,17.0,8.348125,0.0,10.0
2015.0,CSK,Ravindra Jadeja,42.4,0.0,330.0,11.0,88.0,21.0,17.0,8.627333333333333,0.0,2.0
2015.0,CSK,Suresh Raina,12.0,0.0,93.0,2.0,25.0,6.0,4.0,7.85,0.0,6.0
2015.0,CSK,Pawan Negi,30.0,0.0,252.0,6.0,57.0,17.0,12.0,8.258,0.0,3.0
2015.0,CSK,Ronit More,5.5,0.0,59.0,1.0,5.0,5.0,1.0,11.04,0.0,2.0
2015.0,CSK,Dwayne Smith,2.0,0.0,17.0,1.0,4.0,0.0,1.0,8.5,0.0,0.0
2014.0,CSK,Ashish Nehra,15.0,0.0,142.0,8.0,31.0,16.0,6.0,9.375,0.0,3.0
2014.0,CSK,Mohit Sharma,53.5,0.0,452.0,23.0,123.0,50.0,14.0,8.296875,0.0,1.0
2014.0,CSK,Ravichandran Ashwin,59.5,1.0,437.0,16.0,139.0,21.0,21.0,7.4868749999999995,0.0,20.0
2014.0,CSK,Pawan Negi,7.0,0.0,75.0,0.0,9.0,5.0,4.0,10.915,0.0,1.0
2014.0,CSK,Ravindra Jadeja,53.8,0.0,443.0,19.0,105.0,26.0,21.0,8.428125,0.0,6.0
2014.0,CSK,Dwayne Smith,10.0,0.0,95.0,4.0,16.0,8.0,4.0,9.2,0.0,2.0
2014.0,CSK,Ishwar Pandey,42.0,2.0,318.0,6.0,121.0,40.0,9.0,7.672499999999999,0.0,3.0
2014.0,CSK,Ben Hilfenhaus,28.0,0.0,246.0,8.0,75.0,25.0,12.0,8.63375,0.0,7.0
2014.0,CSK,Suresh Raina,18.0,0.0,134.0,1.0,35.0,9.0,5.0,8.23875,0.0,1.0
2014.0,CSK,Samuel Badree,14.0,0.0,97.0,2.0,42.0,7.0,5.0,6.9775,0.0,3.0
2014.0,CSK,Vijay Shankar,1.0,0.0,19.0,0.0,1.0,1.0,2.0,19.0,0.0,0.0
2014.0,CSK,David Hussey,2.5,0.0,38.0,2.0,5.0,2.0,3.0,13.41,0.0,1.0
2014.0,CSK,John Hastings,3.0,0.0,29.0,1.0,9.0,6.0,0.0,9.66,0.0,1.0
2013.0,CSK,Dirk Nannes,19.5,0.0,158.0,4.0,54.0,16.0,4.0,7.936,0.0,7.0
2013.0,CSK,Ankit Rajpoot,4.0,0.0,35.0,1.0,10.0,5.0,1.0,9.165,0.0,1.0
2013.0,CSK,Dwayne Bravo,62.3,0.0,497.0,32.0,140.0,41.0,18.0,7.934444444444444,0.0,17.0
2013.0,CSK,Ben Laughlin,7.0,0.0,71.0,1.0,10.0,7.0,2.0,9.915,0.0,3.0
2013.0,CSK,Ravindra Jadeja,43.1,0.0,323.0,13.0,98.0,18.0,17.0,7.697333333333334,0.0,3.0
2013.0,CSK,Ravichandran Ashwin,58.0,1.0,390.0,15.0,127.0,20.0,17.0,7.656666666666666,0.0,6.0
2013.0,CSK,Chris Morris,50.0,0.0,401.0,15.0,122.0,39.0,12.0,8.17,0.0,9.0
2013.0,CSK,Mohit Sharma,50.4,0.0,326.0,20.0,162.0,44.0,7.0,6.842,0.0,7.0
2013.0,CSK,Albie Morkel,24.0,0.0,159.0,7.0,66.0,16.0,4.0,6.521428571428571,0.0,5.0
2013.0,CSK,Jason Holder,20.0,0.0,168.0,2.0,49.0,17.0,6.0,9.888333333333334,0.0,5.0
2013.0,CSK,Suresh Raina,2.0,0.0,23.0,1.0,2.0,1.0,2.0,11.5,0.0,0.0
2012.0,CSK,Albie Morkel,49.3,0.0,385.0,13.0,125.0,44.0,9.0,8.121333333333332,0.0,18.0
2012.0,CSK,Doug Bollinger,17.6,0.0,157.0,8.0,49.0,23.0,4.0,8.806666666666667,0.0,5.0
2012.0,CSK,Ravichandran Ashwin,65.1,0.0,431.0,14.0,148.0,25.0,13.0,6.493333333333333,0.0,7.0
2012.0,CSK,Ravindra Jadeja,35.0,0.0,273.0,12.0,69.0,17.0,11.0,8.838571428571429,1.0,6.0
2012.0,CSK,Dwayne Bravo,57.4,0.0,462.0,15.0,119.0,42.0,13.0,7.9766666666666675,0.0,17.0
2012.0,CSK,Shadab Jakati,41.0,0.0,336.0,9.0,77.0,27.0,13.0,8.315333333333333,0.0,2.0
2012.0,CSK,Suresh Raina,14.0,0.0,105.0,2.0,22.0,5.0,5.0,8.618571428571428,0.0,1.0
2012.0,CSK,Faf du Plessis,1.0,0.0,16.0,0.0,0.0,0.0,2.0,16.0,0.0,0.0
2012.0,CSK,Nuwan Kulasekara,14.0,0.0,94.0,4.0,40.0,12.0,0.0,6.5,0.0,4.0
2012.0,CSK,Yo Mahesh,9.2,0.0,81.0,3.0,19.0,7.0,3.0,9.7925,0.0,5.0
2012.0,CSK,Ben Hilfenhaus,34.0,2.0,233.0,14.0,109.0,23.0,9.0,6.868888888888889,0.0,11.0
2011.0,CSK,Albie Morkel,45.0,1.0,382.0,15.0,107.0,42.0,11.0,8.558571428571428,0.0,10.0
2011.0,CSK,Tim Southee,19.0,0.0,166.0,4.0,44.0,20.0,4.0,8.931999999999999,0.0,5.0
2011.0,CSK,Ravichandran Ashwin,63.0,1.0,388.0,20.0,164.0,29.0,11.0,6.125,0.0,7.0
2011.0,CSK,Suraj Randiv,29.0,0.0,223.0,6.0,60.0,20.0,5.0,7.72875,0.0,6.0
2011.0,CSK,Shadab Jakati,44.1,0.0,336.0,10.0,82.0,21.0,11.0,7.887142857142857,0.0,4.0
2011.0,CSK,Suresh Raina,27.3,0.0,201.0,4.0,68.0,15.0,8.0,7.048333333333333,0.0,8.0
2011.0,CSK,Scott Styris,1.0,0.0,13.0,0.0,1.0,1.0,1.0,13.0,0.0,0.0
2011.0,CSK,Doug Bollinger,47.0,1.0,329.0,17.0,124.0,31.0,7.0,6.967692307692308,0.0,12.0
2011.0,CSK,Joginder Sharma,3.0,0.0,34.0,0.0,5.0,3.0,2.0,11.33,0.0,2.0
2011.0,CSK,Nuwan Kulasekara,3.0,0.0,26.0,1.0,7.0,4.0,0.0,8.66,0.0,1.0
2011.0,CSK,Dwayne Bravo,20.0,0.0,157.0,6.0,42.0,10.0,6.0,7.846666666666667,0.0,9.0
2010.0,CSK,Albie Morkel,47.4,1.0,405.0,11.0,102.0,47.0,9.0,8.094285714285714,0.0,9.0
2010.0,CSK,Sudeep Tyagi,15.5,0.0,159.0,1.0,36.0,16.0,8.0,11.321666666666667,0.0,7.0
2010.0,CSK,Muttiah Muralitharan,48.0,0.0,329.0,15.0,131.0,21.0,14.0,6.854166666666667,0.0,14.0
2010.0,CSK,Ravichandran Ashwin,48.0,1.0,293.0,13.0,132.0,25.0,8.0,6.104166666666667,0.0,9.0
2010.0,CSK,Lakshmipathy Balaji,23.2,0.0,207.0,7.0,54.0,18.0,9.0,8.442857142857143,0.0,7.0
2010.0,CSK,Justin Kemp,7.2,0.0,54.0,3.0,18.0,6.0,1.0,8.584,0.0,3.0
2010.0,CSK,Manpreet Gony,8.0,0.0,92.0,1.0,17.0,15.0,2.0,11.333333333333334,0.0,3.0
2010.0,CSK,Suresh Raina,23.1,0.0,178.0,6.0,43.0,12.0,6.0,7.1691666666666665,0.0,4.0
2010.0,CSK,Joginder Sharma,8.0,0.0,89.0,2.0,14.0,12.0,2.0,11.25,0.0,3.0
2010.0,CSK,Shadab Jakati,38.0,1.0,291.0,13.0,90.0,19.0,13.0,8.15,0.0,4.0
2010.0,CSK,Thisara Perera,1.0,0.0,19.0,0.0,0.0,4.0,0.0,19.0,0.0,0.0
2010.0,CSK,Thilan Thushara,14.3,0.0,101.0,5.0,40.0,9.0,3.0,6.9125,0.0,7.0
2010.0,CSK,Chandrasekar Ganapathy,1.0,0.0,13.0,0.0,1.0,1.0,1.0,13.0,0.0,0.0
2010.0,CSK,Doug Bollinger,31.0,2.0,207.0,12.0,97.0,19.0,8.0,6.79125,0.0,7.0
2009.0,CSK,Manpreet Gony,17.0,0.0,172.0,5.0,37.0,20.0,7.0,11.75,0.0,5.0
2009.0,CSK,Thilan Thushara,8.0,0.0,60.0,3.0,20.0,6.0,1.0,7.5,0.0,2.0
2009.0,CSK,Andrew Flintoff,11.0,0.0,105.0,2.0,21.0,7.0,7.0,9.053333333333333,0.0,0.0
2009.0,CSK,Jacob Oram,14.9,0.0,133.0,5.0,31.0,11.0,6.0,9.94,0.0,1.0
2009.0,CSK,Joginder Sharma,7.0,0.0,57.0,2.0,9.0,4.0,2.0,9.5625,0.0,1.0
2009.0,CSK,Lakshmipathy Balaji,36.8,0.0,316.0,13.0,74.0,27.0,12.0,8.941538461538462,0.0,5.0
2009.0,CSK,Albie Morkel,40.0,1.0,328.0,13.0,101.0,36.0,8.0,8.318333333333333,0.0,9.0
2009.0,CSK,Muttiah Muralitharan,50.0,1.0,261.0,14.0,150.0,19.0,6.0,5.255384615384615,0.0,4.0
2009.0,CSK,Suresh Raina,27.4,0.0,164.0,7.0,62.0,9.0,4.0,6.093999999999999,0.0,1.0
2009.0,CSK,Sudeep Tyagi,19.0,0.0,136.0,5.0,63.0,18.0,4.0,6.915,0.0,4.0
2009.0,CSK,Shadab Jakati,29.0,0.0,217.0,13.0,65.0,13.0,10.0,7.67625,0.0,1.0
2009.0,CSK,Ravichandran Ashwin,4.0,0.0,13.0,2.0,12.0,0.0,0.0,3.25,0.0,0.0
2008.0,CSK,Jacob Oram,16.0,0.0,149.0,3.0,32.0,17.0,5.0,9.3125,0.0,4.0
2008.0,CSK,Manpreet Gony,60.0,3.0,443.0,17.0,164.0,42.0,16.0,7.4575,0.0,11.0
2008.0,CSK,Muttiah Muralitharan,58.0,0.0,404.0,11.0,139.0,22.0,14.0,7.066666666666666,0.0,21.0
2008.0,CSK,Palani  Amarnath,22.0,0.0,236.0,7.0,34.0,29.0,7.0,10.803333333333333,0.0,0.0
2008.0,CSK,Joginder Sharma,24.4,0.0,239.0,8.0,45.0,19.0,11.0,9.86,0.0,10.0
2008.0,CSK,Albie Morkel,48.0,0.0,399.0,17.0,109.0,38.0,11.0,8.531538461538462,0.0,22.0
2008.0,CSK,Makhaya Ntini,35.0,2.0,242.0,7.0,108.0,29.0,8.0,6.878888888888889,0.0,3.0
2008.0,CSK,Suresh Raina,3.2,0.0,30.0,1.0,4.0,1.0,2.0,8.75,0.0,0.0
2008.0,CSK,Vidyut Sivaramakrishnan,2.0,0.0,22.0,1.0,5.0,1.0,2.0,11.0,0.0,1.0
2008.0,CSK,Lakshmipathy Balaji,33.0,0.0,286.0,11.0,67.0,30.0,9.0,8.61111111111111,1.0,7.0
2008.0,CSK,Chamara Kapugedera,2.5,0.0,49.0,0.0,0.0,5.0,3.0,18.066666666666666,0.0,0.0
